Year,Prevalence,Incidence,NumberPositive,NewCasesThisYear,NewCasesThisYearFromOutside,NewCasesThisYearFromAcute,PropHIVPosONART,NAnnual,TotalPopulation,NumberPositiveM,PopulationM,NumberPositiveF,PopulationF,CumulativeNonPopartHIVtests,CumulativePopartHIVtests,CumulativeNonPopartCD4tests,CumulativePopartCD4tests,NHIVTestedThisYear,NOnARTM,NNeedARTM,NOnARTF,NNeedARTF,PropMenCirc,NindInSdPart,NDied_from_HIV,NHIV_pos_dead,N_dead,Prop_riskLow,Prop_riskMed,Prop_riskHigh,Prevalence_riskLow,Prevalence_riskMed,Prevalence_riskHigh,NewCasesThisYear_riskLow,NewCasesThisYear_riskMed,NewCasesThisYear_riskHigh,NDied_from_HIV_riskLow,NDied_from_HIV_riskMed,NDied_from_HIV_riskHigh,NMage13-18,NMage18-23,NMage23-30,NMage30-40,NMage40-50,NMage50-60,NMage60-80,NFage13-18,NFage18-23,NFage23-30,NFage30-40,NFage40-50,NFage50-60,NFage60-80,IncMage13-18,IncMage18-23,IncMage23-30,IncMage30-40,IncMage40-50,IncMage50-60,IncMage60-80,IncFage13-18,IncFage18-23,IncFage23-30,IncFage30-40,IncFage40-50,IncFage50-60,IncFage60-80,NPosMage13-18,NPosMage18-23,NPosMage23-30,NPosMage30-40,NPosMage40-50,NPosMage50-60,NPosMage60-80,NPosFage13-18,NPosFage18-23,NPosFage23-30,NPosFage30-40,NPosFage40-50,NPosFage50-60,NPosFage60-80,
1900,0.000000,0.000000,0,0,0,0,0.000000,0,1047,0,534,0,513,0,0,0,0,0,0,0,0,0,0.0393,0,0,0,15,0.4422,0.4202,0.1375,0.0000,0.0000,0.0000,0,0,0,0,0,0,100,85,92,108,73,37,39,100,76,95,98,70,38,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1901,0.000000,0.000000,0,0,0,0,0.000000,0,1119,0,574,0,545,0,0,0,0,0,0,0,0,0,0.0418,0,0,0,29,0.4459,0.4173,0.1367,0.0000,0.0000,0.0000,0,0,0,0,0,0,117,93,94,114,76,39,41,120,77,94,112,67,34,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1902,0.000000,0.000000,0,0,0,0,0.000000,0,1205,0,610,0,595,0,0,0,0,0,0,0,0,0,0.0443,0,0,0,44,0.4423,0.4232,0.1344,0.0000,0.0000,0.0000,0,0,0,0,0,0,144,93,98,114,79,40,42,160,85,92,108,74,37,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1903,0.000000,0.000000,0,0,0,0,0.000000,0,1270,0,640,0,630,0,0,0,0,0,0,0,0,0,0.0406,0,0,0,59,0.4370,0.4260,0.1370,0.0000,0.0000,0.0000,0,0,0,0,0,0,157,94,101,116,81,47,44,187,84,96,108,79,36,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1904,0.000000,0.000000,0,0,0,0,0.000000,0,1323,0,665,0,658,0,0,0,0,0,0,0,0,0,0.0376,0,0,0,82,0.4346,0.4286,0.1368,0.0000,0.0000,0.0000,0,0,0,0,0,0,157,117,107,112,80,51,41,179,114,96,109,80,38,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1905,0.000000,0.000000,0,0,0,0,0.000000,0,1378,0,702,0,676,0,0,0,0,0,0,0,0,0,0.0442,0,0,0,98,0.4318,0.4332,0.1350,0.0000,0.0000,0.0000,0,0,0,0,0,0,157,140,112,118,79,52,44,164,135,100,113,79,44,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1906,0.000000,0.000000,0,0,0,0,0.000000,0,1453,0,741,0,712,0,0,0,0,0,0,0,0,0,0.0418,0,0,0,120,0.4350,0.4288,0.1363,0.0000,0.0000,0.0000,0,0,0,0,0,0,166,153,120,123,81,56,42,154,174,108,114,81,44,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1907,0.000000,0.000000,0,0,0,0,0.000000,0,1523,0,779,0,744,0,0,0,0,0,0,0,0,0,0.0436,0,0,0,136,0.4366,0.4261,0.1372,0.0000,0.0000,0.0000,0,0,0,0,0,0,173,174,121,125,85,58,43,150,199,108,119,85,46,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1908,0.000000,0.000000,0,0,0,0,0.000000,0,1576,0,806,0,770,0,0,0,0,0,0,0,0,0,0.0447,0,0,0,148,0.4372,0.4258,0.1371,0.0000,0.0000,0.0000,0,0,0,0,0,0,167,190,126,130,88,59,46,150,217,105,126,87,49,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1909,0.000000,0.000000,0,0,0,0,0.000000,0,1653,0,845,0,808,0,0,0,0,0,0,0,0,0,0.0438,0,0,0,166,0.4332,0.4307,0.1361,0.0000,0.0000,0.0000,0,0,0,0,0,0,171,195,150,128,92,59,50,170,199,139,127,87,51,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
