Year,Prevalence,Incidence,NumberPositive,NewCasesThisYear,NewCasesThisYearFromOutside,NewCasesThisYearFromAcute,PropHIVPosONART,NAnnual,TotalPopulation,NumberPositiveM,PopulationM,NumberPositiveF,PopulationF,CumulativeNonPopartHIVtests,CumulativePopartHIVtests,CumulativeNonPopartCD4tests,CumulativePopartCD4tests,NHIVTestedThisYear,NOnARTM,NNeedARTM,NOnARTF,NNeedARTF,PropMenCirc,NindInSdPart,NDied_from_HIV,NHIV_pos_dead,N_dead,Prop_riskLow,Prop_riskMed,Prop_riskHigh,Prevalence_riskLow,Prevalence_riskMed,Prevalence_riskHigh,NewCasesThisYear_riskLow,NewCasesThisYear_riskMed,NewCasesThisYear_riskHigh,NDied_from_HIV_riskLow,NDied_from_HIV_riskMed,NDied_from_HIV_riskHigh,NMage13-18,NMage18-23,NMage23-30,NMage30-40,NMage40-50,NMage50-60,NMage60-80,NFage13-18,NFage18-23,NFage23-30,NFage30-40,NFage40-50,NFage50-60,NFage60-80,IncMage13-18,IncMage18-23,IncMage23-30,IncMage30-40,IncMage40-50,IncMage50-60,IncMage60-80,IncFage13-18,IncFage18-23,IncFage23-30,IncFage30-40,IncFage40-50,IncFage50-60,IncFage60-80,NPosMage13-18,NPosMage18-23,NPosMage23-30,NPosMage30-40,NPosMage40-50,NPosMage50-60,NPosMage60-80,NPosFage13-18,NPosFage18-23,NPosFage23-30,NPosFage30-40,NPosFage40-50,NPosFage50-60,NPosFage60-80,
1910,0.000000,0.000000,0,0,0,0,0.000000,0,1722,0,886,0,836,0,0,0,0,0,0,0,0,0,0.0485,0,0,0,194,0.4309,0.4297,0.1394,0.0000,0.0000,0.0000,0,0,0,0,0,0,177,200,169,132,98,64,46,165,206,159,129,88,56,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1911,0.000000,0.000000,0,0,0,0,0.000000,0,1787,0,913,0,874,0,0,0,0,0,0,0,0,0,0.0471,0,0,0,215,0.4298,0.4320,0.1382,0.0000,0.0000,0.0000,0,0,0,0,0,0,171,205,190,133,101,62,51,168,193,201,125,97,55,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1912,0.000000,0.000000,0,0,0,0,0.000000,0,1844,0,946,0,898,0,0,0,0,0,0,0,0,0,0.0465,0,0,0,245,0.4317,0.4317,0.1367,0.0000,0.0000,0.0000,0,0,0,0,0,0,192,203,203,139,96,63,50,167,182,229,130,91,62,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1913,0.000000,0.000000,0,0,0,0,0.000000,0,1903,0,982,0,921,0,0,0,0,0,0,0,0,0,0.0479,0,0,0,267,0.4341,0.4304,0.1356,0.0000,0.0000,0.0000,0,0,0,0,0,0,192,212,214,145,99,66,54,155,194,244,132,92,66,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1914,0.000000,0.000000,0,0,0,0,0.000000,0,1931,0,993,0,938,0,0,0,0,0,0,0,0,0,0.0453,0,0,0,295,0.4329,0.4283,0.1388,0.0000,0.0000,0.0000,0,0,0,0,0,0,165,223,240,148,94,67,56,138,209,251,137,95,66,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1915,0.000000,0.000000,0,0,0,0,0.000000,0,1974,0,1020,0,954,0,0,0,0,0,0,0,0,0,0.0441,0,0,0,310,0.4336,0.4291,0.1373,0.0000,0.0000,0.0000,0,0,0,0,0,0,163,211,268,157,97,65,59,115,207,282,142,97,66,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1916,0.000000,0.000000,0,0,0,0,0.000000,0,1990,0,1026,0,964,0,0,0,0,0,0,0,0,0,0.0439,0,0,0,354,0.4367,0.4291,0.1342,0.0000,0.0000,0.0000,0,0,0,0,0,0,136,220,271,172,103,61,63,111,196,275,173,97,68,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1917,0.000000,0.000000,0,0,0,0,0.000000,0,2029,0,1043,0,986,0,0,0,0,0,0,0,0,0,0.0460,0,0,0,377,0.4357,0.4298,0.1345,0.0000,0.0000,0.0000,0,0,0,0,0,0,123,232,260,198,101,65,64,106,195,271,192,101,72,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1918,0.000000,0.000000,0,0,0,0,0.000000,0,2068,0,1056,0,1012,0,0,0,0,0,0,0,0,0,0.0455,0,0,0,401,0.4381,0.4270,0.1349,0.0000,0.0000,0.0000,0,0,0,0,0,0,122,211,268,219,105,66,65,117,172,263,223,107,77,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1919,0.000000,0.000000,0,0,0,0,0.000000,0,2123,0,1087,0,1036,0,0,0,0,0,0,0,0,0,0.0432,0,0,0,430,0.4381,0.4268,0.1352,0.0000,0.0000,0.0000,0,0,0,0,0,0,135,192,288,236,103,70,63,130,153,259,256,108,76,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1920,0.000000,0.000000,0,0,0,0,0.000000,0,2167,0,1101,0,1066,0,0,0,0,0,0,0,0,0,0.0436,0,0,0,461,0.4329,0.4292,0.1380,0.0000,0.0000,0.0000,0,0,0,0,0,0,141,182,286,248,110,78,56,138,143,269,269,112,74,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1921,0.000000,0.000000,0,0,0,0,0.000000,0,2186,0,1113,0,1073,0,0,0,0,0,0,0,0,0,0.0458,0,0,0,491,0.4309,0.4296,0.1395,0.0000,0.0000,0.0000,0,0,0,0,0,0,134,165,296,269,110,81,58,131,135,273,285,108,81,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1922,0.000000,0.000000,0,0,0,0,0.000000,0,2248,0,1149,0,1099,0,0,0,0,0,0,0,0,0,0.0470,0,0,0,520,0.4333,0.4284,0.1383,0.0000,0.0000,0.0000,0,0,0,0,0,0,161,148,285,298,120,79,58,135,135,259,311,113,79,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1923,0.000000,0.000000,0,0,0,0,0.000000,0,2318,0,1175,0,1143,0,0,0,0,0,0,0,0,0,0.0460,0,0,0,548,0.4340,0.4267,0.1393,0.0000,0.0000,0.0000,0,0,0,0,0,0,158,166,270,312,132,79,58,151,146,243,334,116,83,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1924,0.000000,0.000000,0,0,0,0,0.000000,0,2394,0,1227,0,1167,0,0,0,0,0,0,0,0,0,0.0456,0,0,0,578,0.4357,0.4223,0.1420,0.0000,0.0000,0.0000,0,0,0,0,0,0,188,165,273,325,137,75,64,151,164,232,343,123,84,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1925,0.000000,0.000000,0,0,0,0,0.000000,0,2465,0,1260,0,1205,0,0,0,0,0,0,0,0,0,0.0421,0,0,0,608,0.4373,0.4211,0.1416,0.0000,0.0000,0.0000,0,0,0,0,0,0,208,164,255,343,145,79,66,183,154,216,370,124,84,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1926,0.000000,0.000000,0,0,0,0,0.000000,0,2546,0,1297,0,1249,0,0,0,0,0,0,0,0,0,0.0424,0,0,0,636,0.4391,0.4191,0.1418,0.0000,0.0000,0.0000,0,0,0,0,0,0,208,181,238,361,152,89,68,202,164,201,368,155,82,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1927,0.000000,0.000000,0,0,0,0,0.000000,0,2605,0,1328,0,1277,0,0,0,0,0,0,0,0,0,0.0429,0,0,0,676,0.4392,0.4165,0.1443,0.0000,0.0000,0.0000,0,0,0,0,0,0,212,197,229,357,175,88,70,199,183,194,363,173,84,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1928,0.000000,0.000000,0,0,0,0,0.000000,0,2687,0,1373,0,1314,0,0,0,0,0,0,0,0,0,0.0408,0,0,0,712,0.4395,0.4179,0.1425,0.0000,0.0000,0.0000,0,0,0,0,0,0,210,215,228,360,195,92,73,211,186,195,347,200,91,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1929,0.000000,0.000000,0,0,0,0,0.000000,0,2768,0,1412,0,1356,0,0,0,0,0,0,0,0,0,0.0404,0,0,0,746,0.4400,0.4191,0.1409,0.0000,0.0000,0.0000,0,0,0,0,0,0,222,226,217,366,214,91,76,209,201,203,336,226,94,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1930,0.000000,0.000000,0,0,0,0,0.000000,0,2851,0,1456,0,1395,0,0,0,0,0,0,0,0,0,0.0412,0,0,0,785,0.4398,0.4202,0.1400,0.0000,0.0000,0.0000,0,0,0,0,0,0,230,253,213,359,226,96,79,217,232,199,324,241,100,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1931,0.000000,0.000000,0,0,0,0,0.000000,0,2937,0,1509,0,1428,0,0,0,0,0,0,0,0,0,0.0398,0,0,0,821,0.4375,0.4232,0.1393,0.0000,0.0000,0.0000,0,0,0,0,0,0,248,247,231,356,244,96,87,222,245,209,316,257,93,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1932,0.000000,0.000000,0,0,0,0,0.000000,0,3031,0,1561,0,1470,0,0,0,0,0,0,0,0,0,0.0436,0,0,0,873,0.4428,0.4170,0.1402,0.0000,0.0000,0.0000,0,0,0,0,0,0,264,266,243,336,265,101,86,237,243,226,300,281,99,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1933,0.000000,0.000000,0,0,0,0,0.000000,0,3099,0,1590,0,1509,0,0,0,0,0,0,0,0,0,0.0434,0,0,0,920,0.4453,0.4143,0.1404,0.0000,0.0000,0.0000,0,0,0,0,0,0,263,262,270,327,271,109,88,236,256,241,288,298,101,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1934,0.000000,0.000000,0,0,0,0,0.000000,0,3183,0,1641,0,1542,0,0,0,0,0,0,0,0,0,0.0439,0,0,0,962,0.4455,0.4125,0.1420,0.0000,0.0000,0.0000,0,0,0,0,0,0,280,271,288,322,282,111,87,224,263,262,288,306,109,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1935,0.000000,0.000000,0,0,0,0,0.000000,0,3275,0,1691,0,1584,0,0,0,0,0,0,0,0,0,0.0449,0,0,0,1013,0.4485,0.4101,0.1414,0.0000,0.0000,0.0000,0,0,0,0,0,0,284,282,298,322,299,118,88,237,266,278,277,326,113,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1936,0.000000,0.000000,0,0,0,0,0.000000,0,3366,0,1732,0,1634,0,0,0,0,0,0,0,0,0,0.0473,0,0,0,1065,0.4471,0.4118,0.1411,0.0000,0.0000,0.0000,0,0,0,0,0,0,276,312,307,305,313,123,96,243,283,286,278,324,139,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1937,0.000000,0.000000,0,0,0,0,0.000000,0,3447,0,1763,0,1684,0,0,0,0,0,0,0,0,0,0.0471,0,0,0,1118,0.4471,0.4093,0.1436,0.0000,0.0000,0.0000,0,0,0,0,0,0,275,310,341,294,301,142,100,265,284,313,263,320,152,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1938,0.000000,0.000000,0,0,0,0,0.000000,0,3552,0,1813,0,1739,0,0,0,0,0,0,0,0,0,0.0502,0,0,0,1163,0.4482,0.4096,0.1422,0.0000,0.0000,0.0000,0,0,0,0,0,0,273,326,345,301,306,158,104,291,277,335,262,305,174,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1939,0.000000,0.000000,0,0,0,0,0.000000,0,3650,0,1862,0,1788,0,0,0,0,0,0,0,0,0,0.0505,0,0,0,1200,0.4485,0.4093,0.1422,0.0000,0.0000,0.0000,0,0,0,0,0,0,268,342,358,299,317,171,107,289,284,344,277,296,198,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1940,0.000000,0.000000,0,0,0,0,0.000000,0,3741,0,1904,0,1837,0,0,0,0,0,0,0,0,0,0.0515,0,0,0,1253,0.4501,0.4076,0.1422,0.0000,0.0000,0.0000,0,0,0,0,0,0,266,343,364,331,307,181,112,289,299,358,291,291,205,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1941,0.000000,0.000000,0,0,0,0,0.000000,0,3855,0,1973,0,1882,0,0,0,0,0,0,0,0,0,0.0512,0,0,0,1307,0.4542,0.4021,0.1437,0.0000,0.0000,0.0000,0,0,0,0,0,0,301,324,395,342,301,196,114,286,306,367,324,282,218,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1942,0.000000,0.000000,0,0,0,0,0.000000,0,3960,0,2029,0,1931,0,0,0,0,0,0,0,0,0,0.0508,0,0,0,1358,0.4551,0.4015,0.1434,0.0000,0.0000,0.0000,0,0,0,0,0,0,308,341,392,366,285,217,120,284,328,366,335,270,241,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1943,0.000000,0.000000,0,0,0,0,0.000000,0,4067,0,2074,0,1993,0,0,0,0,0,0,0,0,0,0.0516,0,0,0,1405,0.4519,0.4047,0.1433,0.0000,0.0000,0.0000,0,0,0,0,0,0,313,332,422,375,274,227,131,301,347,360,357,259,255,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1944,0.000000,0.000000,0,0,0,0,0.000000,0,4146,0,2109,0,2037,0,0,0,0,0,0,0,0,0,0.0526,0,0,0,1466,0.4515,0.4033,0.1452,0.0000,0.0000,0.0000,0,0,0,0,0,0,318,327,436,396,268,239,125,292,349,376,376,259,261,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1945,0.000000,0.000000,0,0,0,0,0.000000,0,4251,0,2166,0,2085,0,0,0,0,0,0,0,0,0,0.0522,0,0,0,1520,0.4512,0.4044,0.1444,0.0000,0.0000,0.0000,0,0,0,0,0,0,307,349,445,413,271,252,129,298,350,390,396,246,282,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1946,0.000000,0.000000,0,0,0,0,0.000000,0,4346,0,2225,0,2121,0,0,0,0,0,0,0,0,0,0.0512,0,0,0,1579,0.4524,0.4045,0.1431,0.0000,0.0000,0.0000,0,0,0,0,0,0,306,374,447,433,265,259,141,294,352,396,412,248,281,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1947,0.000000,0.000000,0,0,0,0,0.000000,0,4461,0,2276,0,2185,0,0,0,0,0,0,0,0,0,0.0518,0,0,0,1634,0.4524,0.4051,0.1426,0.0000,0.0000,0.0000,0,0,0,0,0,0,314,366,449,472,261,254,160,304,353,416,443,231,281,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1948,0.000000,0.000000,0,0,0,0,0.000000,0,4572,0,2344,0,2228,0,0,0,0,0,0,0,0,0,0.0503,0,0,0,1691,0.4473,0.4075,0.1452,0.0000,0.0000,0.0000,0,0,0,0,0,0,333,375,439,490,270,260,177,312,353,415,469,229,268,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1949,0.000000,0.000000,0,0,0,0,0.000000,0,4692,0,2402,0,2290,0,0,0,0,0,0,0,0,0,0.0504,0,0,0,1757,0.4454,0.4084,0.1462,0.0000,0.0000,0.0000,0,0,0,0,0,0,345,388,448,504,264,268,185,327,355,437,467,240,262,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1950,0.000000,0.000000,0,0,0,0,0.000000,0,4769,0,2445,0,2324,0,0,0,0,0,0,0,0,0,0.0528,0,0,0,1833,0.4458,0.4074,0.1468,0.0000,0.0000,0.0000,0,0,0,0,0,0,337,379,462,513,296,258,200,333,354,455,462,255,257,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1951,0.000000,0.000000,0,0,0,0,0.000000,0,4886,0,2513,0,2373,0,0,0,0,0,0,0,0,0,0.0521,0,0,0,1900,0.4476,0.4048,0.1476,0.0000,0.0000,0.0000,0,0,0,0,0,0,358,376,475,529,309,254,212,322,372,462,469,288,247,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1952,0.000000,0.000000,0,0,0,0,0.000000,0,4986,0,2567,0,2419,0,0,0,0,0,0,0,0,0,0.0514,0,0,0,1971,0.4452,0.4081,0.1466,0.0000,0.0000,0.0000,0,0,0,0,0,0,358,400,472,542,331,241,223,327,367,475,485,298,235,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1953,0.000000,0.000000,0,0,0,0,0.000000,0,5088,0,2617,0,2471,0,0,0,0,0,0,0,0,0,0.0508,0,0,0,2031,0.4450,0.4084,0.1466,0.0000,0.0000,0.0000,0,0,0,0,0,0,354,417,486,554,341,232,233,313,392,469,508,319,223,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1954,0.000000,0.000000,0,0,0,0,0.000000,0,5201,0,2686,0,2515,0,0,0,0,0,0,0,0,0,0.0488,0,0,0,2108,0.4474,0.4070,0.1455,0.0000,0.0000,0.0000,0,0,0,0,0,0,387,412,489,570,363,230,235,315,391,474,532,330,221,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1955,0.000000,0.000000,0,0,0,0,0.000000,0,5332,0,2741,0,2591,0,0,0,0,0,0,0,0,0,0.0471,0,0,0,2186,0.4449,0.4105,0.1446,0.0000,0.0000,0.0000,0,0,0,0,0,0,392,425,502,574,371,229,248,336,405,478,543,348,210,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1956,0.000000,0.000000,0,0,0,0,0.000000,0,5466,0,2806,0,2660,0,0,0,0,0,0,0,0,0,0.0492,0,0,0,2271,0.4442,0.4113,0.1445,0.0000,0.0000,0.0000,0,0,0,0,0,0,405,435,515,585,383,226,257,367,394,495,556,359,208,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1957,0.000000,0.000000,0,0,0,0,0.000000,0,5615,0,2880,0,2735,0,0,0,0,0,0,0,0,0,0.0490,0,0,0,2358,0.4479,0.4084,0.1437,0.0000,0.0000,0.0000,0,0,0,0,0,0,438,426,517,598,414,224,263,403,398,495,574,386,192,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1958,0.000000,0.000000,0,0,0,0,0.000000,0,5737,0,2931,0,2806,0,0,0,0,0,0,0,0,0,0.0498,0,0,0,2432,0.4483,0.4070,0.1447,0.0000,0.0000,0.0000,0,0,0,0,0,0,424,443,525,607,433,232,267,423,382,513,580,414,195,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1959,0.000000,0.000000,0,0,0,0,0.000000,0,5845,0,2975,0,2870,0,0,0,0,0,0,0,0,0,0.0491,0,0,0,2523,0.4501,0.4056,0.1442,0.0000,0.0000,0.0000,0,0,0,0,0,0,422,471,526,618,440,222,276,414,411,511,608,412,202,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1960,0.000000,0.000000,0,0,0,0,0.000000,0,5990,0,3045,0,2945,0,0,0,0,0,0,0,0,0,0.0509,0,0,0,2598,0.4514,0.4048,0.1437,0.0000,0.0000,0.0000,0,0,0,0,0,0,429,480,550,616,446,251,273,411,432,530,625,416,219,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1961,0.000000,0.000000,0,0,0,0,0.000000,0,6160,0,3140,0,3020,0,0,0,0,0,0,0,0,0,0.0522,0,0,0,2680,0.4532,0.4032,0.1435,0.0000,0.0000,0.0000,0,0,0,0,0,0,452,504,560,625,463,258,278,404,466,534,632,426,253,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
