Time,Year,Timestep,N_m,N_f,NPos_m,NPos_f,N_knowpos_m,N_knowpos_f,NART_m,NART_f,NVS_m,NVS_f,NNotKnowStatus_m,NNotKnowStatus_f,PropMenCirc,Cumulative_Infected_m,Cumulative_Infected_f
1975.0833,1975,4,4372,4596,0,0,0,0,0,0,0,0,0,0,0.0583,0,0
1975.1667,1975,8,4387,4616,0,0,0,0,0,0,0,0,0,0,0.0584,0,0
1975.2500,1975,12,4404,4633,0,0,0,0,0,0,0,0,0,0,0.0581,0,0
1975.3333,1975,16,4413,4651,0,0,0,0,0,0,0,0,0,0,0.0578,0,0
1975.4167,1975,20,4428,4658,0,0,0,0,0,0,0,0,0,0,0.0580,0,0
1975.5000,1975,24,4442,4680,0,0,0,0,0,0,0,0,0,0,0.0583,0,0
1975.5833,1975,28,4450,4685,0,0,0,0,0,0,0,0,0,0,0.0584,0,0
1975.6667,1975,32,4459,4699,0,0,0,0,0,0,0,0,0,0,0.0585,0,0
1975.7500,1975,36,4465,4716,0,0,0,0,0,0,0,0,0,0,0.0582,0,0
1975.8333,1975,40,4483,4728,0,0,0,0,0,0,0,0,0,0,0.0580,0,0
1975.9167,1975,44,4497,4747,0,0,0,0,0,0,0,0,0,0,0.0578,0,0
1976.0000,1976,0,4515,4767,0,0,0,0,0,0,0,0,0,0,0.0578,0,0
1976.0833,1976,4,4527,4786,2,0,0,0,0,0,0,0,2,0,0.0577,2,0
1976.1667,1976,8,4546,4795,2,1,0,0,0,0,0,0,2,1,0.0574,2,1
1976.2500,1976,12,4556,4810,2,1,0,0,0,0,0,0,2,1,0.0575,2,1
1976.3333,1976,16,4570,4819,2,1,0,0,0,0,0,0,2,1,0.0575,2,1
1976.4167,1976,20,4585,4834,2,1,0,0,0,0,0,0,2,1,0.0576,2,1
1976.5000,1976,24,4602,4843,2,1,0,0,0,0,0,0,2,1,0.0574,2,1
1976.5833,1976,28,4612,4857,2,1,0,0,0,0,0,0,2,1,0.0572,2,1
1976.6667,1976,32,4625,4869,2,1,0,0,0,0,0,0,2,1,0.0575,2,1
1976.7500,1976,36,4636,4880,2,1,0,0,0,0,0,0,2,1,0.0572,2,1
1976.8333,1976,40,4649,4886,2,1,0,0,0,0,0,0,2,1,0.0570,2,1
1976.9167,1976,44,4660,4901,2,1,0,0,0,0,0,0,2,1,0.0569,2,1
1977.0000,1977,0,4673,4922,2,1,0,0,0,0,0,0,2,1,0.0567,2,1
1977.0833,1977,4,4697,4940,3,1,0,0,0,0,0,0,3,1,0.0564,3,1
1977.1667,1977,8,4708,4952,3,1,0,0,0,0,0,0,3,1,0.0563,3,1
1977.2500,1977,12,4725,4967,3,2,0,0,0,0,0,0,3,2,0.0561,3,2
1977.3333,1977,16,4740,4981,3,2,0,0,0,0,0,0,3,2,0.0561,3,2
1977.4167,1977,20,4753,4992,3,2,0,0,0,0,0,0,3,2,0.0566,3,2
1977.5000,1977,24,4765,4997,3,2,0,0,0,0,0,0,3,2,0.0565,3,2
1977.5833,1977,28,4778,5015,3,2,0,0,0,0,0,0,3,2,0.0567,3,2
1977.6667,1977,32,4794,5031,3,2,0,0,0,0,0,0,3,2,0.0563,3,2
1977.7500,1977,36,4798,5046,3,2,0,0,0,0,0,0,3,2,0.0563,3,2
1977.8333,1977,40,4820,5056,3,2,0,0,0,0,0,0,3,2,0.0560,3,2
1977.9167,1977,44,4834,5065,3,3,0,0,0,0,0,0,3,3,0.0565,3,3
1978.0000,1978,0,4845,5079,3,4,0,0,0,0,0,0,3,4,0.0563,3,4
1978.0833,1978,4,4853,5095,4,6,0,0,0,0,0,0,4,6,0.0563,4,6
1978.1667,1978,8,4867,5107,4,6,0,0,0,0,0,0,4,6,0.0559,4,6
1978.2500,1978,12,4885,5115,4,6,0,0,0,0,0,0,4,6,0.0565,4,6
1978.3333,1978,16,4895,5123,4,7,0,0,0,0,0,0,4,7,0.0568,4,7
1978.4167,1978,20,4915,5141,5,7,0,0,0,0,0,0,5,7,0.0568,5,7
1978.5000,1978,24,4932,5156,4,7,0,0,0,0,0,0,4,7,0.0568,5,7
1978.5833,1978,28,4951,5175,4,7,0,0,0,0,0,0,4,7,0.0572,5,7
1978.6667,1978,32,4977,5191,4,7,0,0,0,0,0,0,4,7,0.0569,5,7
1978.7500,1978,36,4998,5203,4,8,0,0,0,0,0,0,4,8,0.0568,5,8
1978.8333,1978,40,5014,5213,4,8,0,0,0,0,0,0,4,8,0.0568,5,8
1978.9167,1978,44,5033,5219,4,8,0,0,0,0,0,0,4,8,0.0564,5,8
1979.0000,1979,0,5049,5237,4,8,0,0,0,0,0,0,4,8,0.0564,5,8
1979.0833,1979,4,5063,5254,7,11,0,0,0,0,0,0,7,11,0.0565,8,11
1979.1667,1979,8,5066,5268,7,11,0,0,0,0,0,0,7,11,0.0568,8,11
1979.2500,1979,12,5075,5284,7,13,0,0,0,0,0,0,7,13,0.0569,8,13
1979.3333,1979,16,5087,5301,8,14,0,0,0,0,0,0,8,14,0.0568,9,14
1979.4167,1979,20,5100,5315,9,14,0,0,0,0,0,0,9,14,0.0571,10,14
1979.5000,1979,24,5114,5332,9,14,0,0,0,0,0,0,9,14,0.0571,10,14
1979.5833,1979,28,5127,5344,9,15,0,0,0,0,0,0,9,15,0.0571,10,15
1979.6667,1979,32,5135,5360,10,15,0,0,0,0,0,0,10,15,0.0569,11,15
1979.7500,1979,36,5149,5377,10,15,0,0,0,0,0,0,10,15,0.0567,11,15
1979.8333,1979,40,5166,5381,10,15,0,0,0,0,0,0,10,15,0.0569,11,15
1979.9167,1979,44,5187,5391,10,15,0,0,0,0,0,0,10,15,0.0567,11,15
1980.0000,1980,0,5205,5412,11,15,0,0,0,0,0,0,11,15,0.0565,12,15
1980.0833,1980,4,5228,5425,11,15,0,0,0,0,0,0,11,15,0.0568,12,15
1980.1667,1980,8,5246,5437,12,15,0,0,0,0,0,0,12,15,0.0570,13,15
1980.2500,1980,12,5252,5461,12,16,0,0,0,0,0,0,12,16,0.0571,13,16
1980.3333,1980,16,5257,5475,13,17,0,0,0,0,0,0,13,17,0.0571,14,17
1980.4167,1980,20,5273,5483,14,16,0,0,0,0,0,0,14,16,0.0575,15,17
1980.5000,1980,24,5287,5498,14,16,0,0,0,0,0,0,14,16,0.0573,15,17
1980.5833,1980,28,5291,5509,14,17,0,0,0,0,0,0,14,17,0.0575,15,18
1980.6667,1980,32,5304,5520,14,17,0,0,0,0,0,0,14,17,0.0577,15,18
1980.7500,1980,36,5331,5545,15,17,0,0,0,0,0,0,15,17,0.0580,16,18
1980.8333,1980,40,5349,5565,15,17,0,0,0,0,0,0,15,17,0.0581,16,18
1980.9167,1980,44,5358,5583,16,18,0,0,0,0,0,0,16,18,0.0592,17,19
1981.0000,1981,0,5370,5594,16,18,0,0,0,0,0,0,16,18,0.0594,17,19
1981.0833,1981,4,5391,5616,16,19,0,0,0,0,0,0,16,19,0.0597,17,20
1981.1667,1981,8,5407,5633,16,19,0,0,0,0,0,0,16,19,0.0601,17,20
1981.2500,1981,12,5431,5644,18,21,0,0,0,0,0,0,18,21,0.0598,19,22
1981.3333,1981,16,5440,5665,17,23,0,0,0,0,0,0,17,23,0.0596,19,24
1981.4167,1981,20,5455,5679,18,23,0,0,0,0,0,0,18,23,0.0594,20,24
1981.5000,1981,24,5467,5696,18,23,0,0,0,0,0,0,18,23,0.0593,20,24
1981.5833,1981,28,5480,5709,19,24,0,0,0,0,0,0,19,24,0.0593,21,26
1981.6667,1981,32,5488,5723,20,24,0,0,0,0,0,0,20,24,0.0592,22,26
1981.7500,1981,36,5501,5740,20,25,0,0,0,0,0,0,20,25,0.0591,22,27
1981.8333,1981,40,5514,5755,21,25,0,0,0,0,0,0,21,25,0.0589,23,27
1981.9167,1981,44,5533,5775,23,25,0,0,0,0,0,0,23,25,0.0589,25,28
1982.0000,1982,0,5544,5787,23,25,0,0,0,0,0,0,23,25,0.0590,25,28
1982.0833,1982,4,5563,5808,23,26,0,0,0,0,0,0,23,26,0.0597,25,29
1982.1667,1982,8,5587,5827,23,26,0,0,0,0,0,0,23,26,0.0607,25,29
1982.2500,1982,12,5603,5842,23,26,0,0,0,0,0,0,23,26,0.0603,25,29
1982.3333,1982,16,5615,5865,23,28,0,0,0,0,0,0,23,28,0.0606,25,31
1982.4167,1982,20,5631,5881,24,28,0,0,0,0,0,0,24,28,0.0607,26,31
1982.5000,1982,24,5638,5900,25,30,0,0,0,0,0,0,25,30,0.0607,27,33
1982.5833,1982,28,5653,5911,27,31,0,0,0,0,0,0,27,31,0.0607,29,34
1982.6667,1982,32,5669,5928,27,33,0,0,0,0,0,0,27,33,0.0607,29,36
1982.7500,1982,36,5681,5940,28,34,0,0,0,0,0,0,28,34,0.0606,30,37
1982.8333,1982,40,5696,5947,30,35,0,0,0,0,0,0,30,35,0.0607,32,38
1982.9167,1982,44,5716,5969,31,36,0,0,0,0,0,0,31,36,0.0605,33,39
1983.0000,1983,0,5735,5987,31,38,0,0,0,0,0,0,31,38,0.0605,34,41
1983.0833,1983,4,5748,6005,33,43,0,0,0,0,0,0,33,43,0.0600,36,46
1983.1667,1983,8,5759,6013,35,44,0,0,0,0,0,0,35,44,0.0604,38,47
1983.2500,1983,12,5783,6036,40,47,0,0,0,0,0,0,40,47,0.0607,43,50
1983.3333,1983,16,5799,6048,40,48,0,0,0,0,0,0,40,48,0.0610,44,52
1983.4167,1983,20,5814,6067,42,53,0,0,0,0,0,0,42,53,0.0611,46,57
1983.5000,1983,24,5837,6085,42,56,0,0,0,0,0,0,42,56,0.0612,46,60
1983.5833,1983,28,5850,6098,43,57,0,0,0,0,0,0,43,57,0.0609,47,61
1983.6667,1983,32,5868,6118,47,58,0,0,0,0,0,0,47,58,0.0610,52,62
1983.7500,1983,36,5889,6138,47,59,0,0,0,0,0,0,47,59,0.0610,52,64
1983.8333,1983,40,5897,6151,48,59,0,0,0,0,0,0,48,59,0.0612,54,64
1983.9167,1983,44,5920,6158,48,60,0,0,0,0,0,0,48,60,0.0617,54,66
1984.0000,1984,0,5931,6173,48,62,0,0,0,0,0,0,48,62,0.0617,54,68
1984.0833,1984,4,5945,6190,50,64,0,0,0,0,0,0,50,64,0.0614,56,71
1984.1667,1984,8,5974,6208,50,67,0,0,0,0,0,0,50,67,0.0614,56,75
1984.2500,1984,12,5988,6226,51,69,0,0,0,0,0,0,51,69,0.0615,57,77
1984.3333,1984,16,5998,6241,53,73,0,0,0,0,0,0,53,73,0.0614,59,81
1984.4167,1984,20,6014,6250,55,75,0,0,0,0,0,0,55,75,0.0615,61,85
1984.5000,1984,24,6031,6270,55,79,0,0,0,0,0,0,55,79,0.0615,61,89
1984.5833,1984,28,6044,6287,56,80,0,0,0,0,0,0,56,80,0.0614,62,91
1984.6667,1984,32,6060,6303,57,85,0,0,0,0,0,0,57,85,0.0614,63,96
1984.7500,1984,36,6069,6319,59,89,0,0,0,0,0,0,59,89,0.0615,65,100
1984.8333,1984,40,6087,6332,61,92,0,0,0,0,0,0,61,92,0.0609,67,103
1984.9167,1984,44,6109,6350,63,93,0,0,0,0,0,0,63,93,0.0611,69,104
1985.0000,1985,0,6124,6362,67,97,0,0,0,0,0,0,67,97,0.0611,73,108
1985.0833,1985,4,6154,6383,69,100,0,0,0,0,0,0,69,100,0.0611,75,111
1985.1667,1985,8,6181,6394,73,103,0,0,0,0,0,0,73,103,0.0610,79,114
1985.2500,1985,12,6192,6418,75,106,0,0,0,0,0,0,75,106,0.0614,81,117
1985.3333,1985,16,6220,6427,77,106,0,0,0,0,0,0,77,106,0.0614,83,117
1985.4167,1985,20,6231,6448,79,109,0,0,0,0,0,0,79,109,0.0615,85,121
1985.5000,1985,24,6244,6473,82,113,0,0,0,0,0,0,82,113,0.0613,88,126
1985.5833,1985,28,6251,6484,83,120,0,0,0,0,0,0,83,120,0.0613,89,133
1985.6667,1985,32,6264,6501,84,124,0,0,0,0,0,0,84,124,0.0615,93,139
1985.7500,1985,36,6281,6519,88,132,0,0,0,0,0,0,88,132,0.0615,98,147
1985.8333,1985,40,6285,6534,95,139,0,0,0,0,0,0,95,139,0.0616,105,154
1985.9167,1985,44,6303,6544,98,141,0,0,0,0,0,0,98,141,0.0619,108,157
1986.0000,1986,0,6320,6557,101,149,0,0,0,0,0,0,101,149,0.0620,111,165
1986.0833,1986,4,6336,6575,106,155,0,0,0,0,0,0,106,155,0.0619,116,171
1986.1667,1986,8,6344,6595,107,159,0,0,0,0,0,0,107,159,0.0621,118,175
1986.2500,1986,12,6363,6615,110,174,0,0,0,0,0,0,110,174,0.0622,121,190
1986.3333,1986,16,6391,6638,119,180,0,0,0,0,0,0,119,180,0.0621,130,196
1986.4167,1986,20,6407,6649,125,187,0,0,0,0,0,0,125,187,0.0618,136,204
1986.5000,1986,24,6427,6673,133,195,0,0,0,0,0,0,133,195,0.0616,144,212
1986.5833,1986,28,6443,6691,136,200,0,0,0,0,0,0,136,200,0.0619,148,219
1986.6667,1986,32,6469,6699,141,209,0,0,0,0,0,0,141,209,0.0618,154,228
1986.7500,1986,36,6499,6714,147,215,0,0,0,0,0,0,147,215,0.0617,160,235
1986.8333,1986,40,6516,6741,151,224,0,0,0,0,0,0,151,224,0.0620,165,244
1986.9167,1986,44,6545,6756,161,236,0,0,0,0,0,0,161,236,0.0622,175,257
1987.0000,1987,0,6566,6778,166,238,0,0,0,0,0,0,166,238,0.0623,180,261
1987.0833,1987,4,6593,6808,174,246,0,0,0,0,0,0,174,246,0.0620,189,271
1987.1667,1987,8,6616,6829,181,254,0,0,0,0,0,0,181,254,0.0621,197,279
1987.2500,1987,12,6640,6851,186,261,0,0,0,0,0,0,186,261,0.0620,202,286
1987.3333,1987,16,6655,6866,193,269,0,0,0,0,0,0,193,269,0.0616,210,295
1987.4167,1987,20,6683,6882,202,280,0,0,0,0,0,0,202,280,0.0615,220,306
1987.5000,1987,24,6700,6893,208,293,0,0,0,0,0,0,208,293,0.0615,227,322
1987.5833,1987,28,6720,6909,215,302,0,0,0,0,0,0,215,302,0.0613,234,331
1987.6667,1987,32,6739,6931,218,304,0,0,0,0,0,0,218,304,0.0611,239,335
1987.7500,1987,36,6760,6954,222,313,0,0,0,0,0,0,222,313,0.0612,243,344
1987.8333,1987,40,6774,6970,230,327,0,0,0,0,0,0,230,327,0.0616,251,359
1987.9167,1987,44,6797,6994,241,345,0,0,0,0,0,0,241,345,0.0615,263,377
1988.0000,1988,0,6823,7009,252,360,0,0,0,0,0,0,252,360,0.0617,274,392
1988.0833,1988,4,6851,7022,262,373,0,0,0,0,0,0,262,373,0.0617,284,406
1988.1667,1988,8,6863,7036,266,390,0,0,0,0,0,0,266,390,0.0618,291,425
1988.2500,1988,12,6888,7052,275,403,0,0,0,0,0,0,275,403,0.0617,300,440
1988.3333,1988,16,6918,7077,286,417,0,0,0,0,0,0,286,417,0.0613,312,455
1988.4167,1988,20,6935,7091,294,428,0,0,0,0,0,0,294,428,0.0614,320,466
1988.5000,1988,24,6951,7116,300,444,0,0,0,0,0,0,300,444,0.0613,330,482
1988.5833,1988,28,6973,7150,308,451,0,0,0,0,0,0,308,451,0.0614,338,492
1988.6667,1988,32,6994,7173,316,460,0,0,0,0,0,0,316,460,0.0615,346,505
1988.7500,1988,36,7032,7199,326,469,0,0,0,0,0,0,326,469,0.0617,357,515
1988.8333,1988,40,7047,7220,336,480,0,0,0,0,0,0,336,480,0.0616,368,527
1988.9167,1988,44,7065,7237,345,491,0,0,0,0,0,0,345,491,0.0617,378,540
1989.0000,1989,0,7075,7255,351,503,0,0,0,0,0,0,351,503,0.0616,384,553
1989.0833,1989,4,7093,7277,357,518,0,0,0,0,0,0,357,518,0.0618,390,569
1989.1667,1989,8,7118,7286,368,528,0,0,0,0,0,0,368,528,0.0618,401,581
1989.2500,1989,12,7135,7312,369,538,0,0,0,0,0,0,369,538,0.0618,406,594
1989.3333,1989,16,7152,7335,383,543,0,0,0,0,0,0,383,543,0.0617,420,602
1989.4167,1989,20,7171,7356,391,559,0,0,0,0,0,0,391,559,0.0621,430,621
1989.5000,1989,24,7203,7377,398,570,0,0,0,0,0,0,398,570,0.0626,439,635
1989.5833,1989,28,7223,7401,404,579,0,0,0,0,0,0,404,579,0.0627,445,648
1989.6667,1989,32,7243,7415,417,584,0,0,0,0,0,0,417,584,0.0628,459,656
1989.7500,1989,36,7252,7442,427,597,0,0,0,0,0,0,427,597,0.0629,470,669
1989.8333,1989,40,7280,7466,430,611,0,0,0,0,0,0,430,611,0.0628,478,684
1989.9167,1989,44,7292,7481,443,623,0,0,0,0,0,0,443,623,0.0624,494,700
1990.0000,1990,0,7322,7506,455,634,0,0,0,0,0,0,455,634,0.0623,507,713
1990.0833,1990,4,7352,7524,465,638,0,0,0,0,0,0,465,638,0.0623,518,721
1990.1667,1990,8,7375,7545,474,649,0,0,0,0,0,0,474,649,0.0622,529,733
1990.2500,1990,12,7387,7559,484,667,0,0,0,0,0,0,484,667,0.0621,544,754
1990.3333,1990,16,7402,7579,490,687,0,0,0,0,0,0,490,687,0.0621,554,775
1990.4167,1990,20,7426,7604,500,697,0,0,0,0,0,0,500,697,0.0619,565,786
1990.5000,1990,24,7451,7621,508,705,0,0,0,0,0,0,508,705,0.0616,574,797
1990.5833,1990,28,7470,7642,519,719,0,0,0,0,0,0,519,719,0.0616,585,815
1990.6667,1990,32,7500,7650,530,732,0,0,0,0,0,0,530,732,0.0615,598,830
1990.7500,1990,36,7524,7675,542,740,0,0,0,0,0,0,542,740,0.0618,610,840
1990.8333,1990,40,7551,7697,547,750,0,0,0,0,0,0,547,750,0.0621,615,852
1990.9167,1990,44,7575,7722,548,761,0,0,0,0,0,0,548,761,0.0619,622,865
1991.0000,1991,0,7586,7734,563,766,0,0,0,0,0,0,563,766,0.0621,639,875
1991.0833,1991,4,7602,7753,571,776,0,0,0,0,0,0,571,776,0.0621,652,889
1991.1667,1991,8,7621,7768,581,792,0,0,0,0,0,0,581,792,0.0621,663,908
1991.2500,1991,12,7638,7785,590,802,0,0,0,0,0,0,590,802,0.0623,672,923
1991.3333,1991,16,7661,7807,597,815,0,0,0,0,0,0,597,815,0.0623,683,941
1991.4167,1991,20,7674,7827,605,833,0,0,0,0,0,0,605,833,0.0622,694,963
1991.5000,1991,24,7694,7834,607,846,0,0,0,0,0,0,607,846,0.0621,699,978
1991.5833,1991,28,7710,7861,618,866,0,0,0,0,0,0,618,866,0.0623,715,1002
1991.6667,1991,32,7723,7882,631,872,0,0,0,0,0,0,631,872,0.0622,731,1012
1991.7500,1991,36,7744,7901,643,876,0,0,0,0,0,0,643,876,0.0621,746,1020
1991.8333,1991,40,7759,7923,651,884,0,0,0,0,0,0,651,884,0.0620,758,1030
1991.9167,1991,44,7783,7943,660,895,0,0,0,0,0,0,660,895,0.0619,771,1045
1992.0000,1992,0,7807,7967,665,906,0,0,0,0,0,0,665,906,0.0617,781,1059
1992.0833,1992,4,7824,7975,669,919,0,0,0,0,0,0,669,919,0.0616,790,1080
1992.1667,1992,8,7844,7998,675,934,0,0,0,0,0,0,675,934,0.0617,799,1096
1992.2500,1992,12,7874,8010,682,940,0,0,0,0,0,0,682,940,0.0617,811,1110
1992.3333,1992,16,7894,8026,689,952,0,0,0,0,0,0,689,952,0.0618,820,1125
1992.4167,1992,20,7916,8047,695,962,0,0,0,0,0,0,695,962,0.0619,830,1140
1992.5000,1992,24,7936,8073,698,979,0,0,0,0,0,0,698,979,0.0619,835,1161
1992.5833,1992,28,7960,8099,706,995,0,0,0,0,0,0,706,995,0.0619,844,1178
